word,k,percentage_rel_error
amen, 10, 47941.0
christ, 10, 6462.5
come, 10, 1801.2
even, 10, 2589.9
grace, 10, 21942.4
jesus, 10, 3712.1000000000004
lord, 10, 370.5
quickly, 10, 95979.5
saith, 10, 2869.2
surely, 10, 13094.0
add, 25, 45318.200000000004
amen, 25, 47941.0
away, 25, 1538.0
book, 25, 6905.1
christ, 25, 6462.5
come, 25, 1801.2
even, 25, 2589.9
god, 25, 235.4
grace, 25, 21942.4
jesus, 25, 3712.1000000000004
let, 25, 892.0
life, 25, 3230.7000000000003
lord, 25, 370.5
man, 25, 448.00000000000006
prophecy, 25, 71271.40000000001
quickly, 25, 95979.5
saith, 25, 2869.2
shall, 25, 52.400000000000006
surely, 25, 13094.0
take, 25, 1614.9999999999998
testifieth, 25, 299660.0
things, 25, 1189.8999999999999
unto, 25, 66.60000000000001
words, 25, 2645.1
written, 25, 5310.799999999999
add, 50, 45318.200000000004
amen, 50, 47941.0
angel, 50, 3540.9
athirst, 50, 147720.0
away, 50, 1538.0
book, 50, 6905.1
bride, 50, 52692.899999999994
bright, 50, 25386.2
christ, 50, 6462.5
churches, 50, 19875.7
city, 50, 751.7
come, 50, 1801.2
david, 50, 594.6
even, 50, 2589.9
every, 50, 498.00000000000006
freely, 50, 43376.5
gates, 50, 5033.3
god, 50, 235.4
grace, 50, 21942.4
heareth, 50, 14115.4
holy, 50, 1109.7
jesus, 50, 3712.1000000000004
let, 50, 892.0
life, 50, 3230.7000000000003
lord, 50, 370.5
man, 50, 448.00000000000006
mine, 50, 1038.8
morning, 50, 3155.9
offspring, 50, 61491.700000000004
part, 50, 3353.7
plagues, 50, 30695.800000000003
prophecy, 50, 71271.40000000001
quickly, 50, 95979.5
root, 50, 16697.7
saith, 50, 2869.2
say, 50, 600.0
shall, 50, 52.400000000000006
spirit, 50, 1363.6
star, 50, 49173.3
still, 50, 7218.8
surely, 50, 13094.0
take, 50, 1614.9999999999998
testifieth, 50, 299660.0
testify, 50, 25389.7
things, 50, 1189.8999999999999
unto, 50, 66.60000000000001
water, 50, 1766.4
words, 50, 2645.1
written, 50, 5310.799999999999
ye, 50, 85.8
add, 70, 45318.200000000004
amen, 70, 47941.0
angel, 70, 3540.9
athirst, 70, 147720.0
away, 70, 1538.0
book, 70, 6905.1
bride, 70, 52692.899999999994
bright, 70, 25386.2
christ, 70, 6462.5
churches, 70, 19875.7
city, 70, 751.7
come, 70, 1801.2
david, 70, 594.6
dogs, 70, 21454.2
earth, 70, 425.4
even, 70, 2589.9
every, 70, 498.00000000000006
filthy, 70, 30329.399999999998
freely, 70, 43376.5
gates, 70, 5033.3
god, 70, 235.4
grace, 70, 21942.4
great, 70, 439.40000000000003
heareth, 70, 14115.4
holy, 70, 1109.7
idolaters, 70, 103359.99999999999
jesus, 70, 3712.1000000000004
lamb, 70, 4735.5
let, 70, 892.0
lie, 70, 3237.4
life, 70, 3230.7000000000003
lord, 70, 370.5
loveth, 70, 7858.499999999999
maketh, 70, 4005.6
man, 70, 448.00000000000006
may, 70, 403.7
mine, 70, 1038.8
morning, 70, 3155.9
murderers, 70, 51629.99999999999
offspring, 70, 61491.700000000004
part, 70, 3353.7
plagues, 70, 30695.800000000003
prophecy, 70, 71271.40000000001
quickly, 70, 95979.5
righteous, 70, 2073.5
root, 70, 16697.7
saith, 70, 2869.2
say, 70, 600.0
sayings, 70, 16590.3
sent, 70, 655.1999999999999
shall, 70, 52.400000000000006
sorcerers, 70, 86116.7
spirit, 70, 1363.6
star, 70, 49173.3
still, 70, 7218.8
surely, 70, 13094.0
take, 70, 1614.9999999999998
testifieth, 70, 299660.0
testify, 70, 25389.7
things, 70, 1189.8999999999999
thou, 70, 0.1
twelve, 70, 2652.7000000000003
unjust, 70, 30329.399999999998
unto, 70, 66.60000000000001
water, 70, 1766.4
whoremongers, 70, 129225.0
whosoever, 70, 2742.8999999999996
words, 70, 2645.1
written, 70, 5310.799999999999
ye, 70, 85.8
