Word, Count, Time_exc
amen, 37472, 0.304, 10
christ, 37472, 0.304, 10
come, 37472, 0.304, 10
even, 37471, 0.304, 10
grace, 37472, 0.304, 10
jesus, 37473, 0.304, 10
lord, 37473, 0.304, 10
quickly, 37471, 0.304, 10
saith, 37471, 0.304, 10
surely, 37471, 0.304, 10
add, 14988, 0.408, 25
amen, 14989, 0.408, 25
away, 14988, 0.408, 25
book, 14991, 0.408, 25
christ, 14988, 0.408, 25
come, 14990, 0.408, 25
even, 14988, 0.408, 25
god, 14988, 0.408, 25
grace, 14988, 0.408, 25
jesus, 14989, 0.408, 25
let, 14989, 0.408, 25
life, 14988, 0.408, 25
lord, 14989, 0.408, 25
man, 14989, 0.408, 25
prophecy, 14988, 0.408, 25
quickly, 14988, 0.408, 25
saith, 14988, 0.408, 25
shall, 14993, 0.408, 25
surely, 14988, 0.408, 25
take, 14989, 0.408, 25
testifieth, 14988, 0.408, 25
things, 14989, 0.408, 25
unto, 14989, 0.408, 25
words, 14988, 0.408, 25
written, 14988, 0.408, 25
add, 7392, 0.582, 50
amen, 7393, 0.582, 50
angel, 7391, 0.582, 50
athirst, 7391, 0.582, 50
away, 7392, 0.582, 50
book, 7396, 0.582, 50
bride, 7391, 0.582, 50
bright, 7391, 0.582, 50
christ, 7392, 0.582, 50
churches, 7391, 0.582, 50
city, 7393, 0.582, 50
come, 7395, 0.582, 50
david, 7391, 0.582, 50
even, 7392, 0.582, 50
every, 7391, 0.582, 50
freely, 7391, 0.582, 50
gates, 7392, 0.582, 50
god, 7604, 0.582, 50
grace, 7392, 0.582, 50
heareth, 7392, 0.582, 50
holy, 7391, 0.582, 50
jesus, 7393, 0.582, 50
let, 7395, 0.582, 50
life, 7392, 0.582, 50
lord, 8120, 0.582, 50
man, 7393, 0.582, 50
mine, 7391, 0.582, 50
morning, 7391, 0.582, 50
offspring, 7391, 0.582, 50
part, 7391, 0.582, 50
plagues, 7391, 0.582, 50
prophecy, 7392, 0.582, 50
quickly, 7392, 0.582, 50
root, 7391, 0.582, 50
saith, 7391, 0.582, 50
say, 7392, 0.582, 50
shall, 9951, 0.582, 50
spirit, 7391, 0.582, 50
star, 7391, 0.582, 50
still, 7392, 0.582, 50
surely, 7391, 0.582, 50
take, 7393, 0.582, 50
testifieth, 7391, 0.582, 50
testify, 7392, 0.582, 50
things, 7394, 0.582, 50
unto, 9005, 0.582, 50
water, 7391, 0.582, 50
words, 7392, 0.582, 50
written, 7392, 0.582, 50
ye, 7402, 0.582, 50
add, 5174, 0.711, 70
amen, 5175, 0.711, 70
angel, 5173, 0.711, 70
athirst, 5173, 0.711, 70
away, 5174, 0.711, 70
book, 5178, 0.711, 70
bride, 5173, 0.711, 70
bright, 5173, 0.711, 70
christ, 5190, 0.711, 70
churches, 5173, 0.711, 70
city, 5177, 0.711, 70
come, 5177, 0.711, 70
david, 5173, 0.711, 70
dogs, 5173, 0.711, 70
earth, 5186, 0.711, 70
even, 5174, 0.711, 70
every, 5173, 0.711, 70
filthy, 5173, 0.711, 70
freely, 5173, 0.711, 70
gates, 5176, 0.711, 70
god, 5595, 0.711, 70
grace, 5174, 0.711, 70
great, 5189, 0.711, 70
heareth, 5174, 0.711, 70
holy, 5174, 0.711, 70
idolaters, 5173, 0.711, 70
jesus, 5175, 0.711, 70
lamb, 5174, 0.711, 70
let, 5178, 0.711, 70
lie, 5173, 0.711, 70
life, 5175, 0.711, 70
lord, 8008, 0.711, 70
loveth, 5173, 0.711, 70
maketh, 5173, 0.711, 70
man, 5175, 0.711, 70
may, 5173, 0.711, 70
mine, 5173, 0.711, 70
morning, 5173, 0.711, 70
murderers, 5173, 0.711, 70
offspring, 5173, 0.711, 70
part, 5173, 0.711, 70
plagues, 5173, 0.711, 70
prophecy, 5174, 0.711, 70
quickly, 5173, 0.711, 70
righteous, 5173, 0.711, 70
root, 5173, 0.711, 70
saith, 5174, 0.711, 70
say, 5174, 0.711, 70
sayings, 5174, 0.711, 70
sent, 5173, 0.711, 70
shall, 9859, 0.711, 70
sorcerers, 5173, 0.711, 70
spirit, 5173, 0.711, 70
star, 5173, 0.711, 70
still, 5175, 0.711, 70
surely, 5173, 0.711, 70
take, 5175, 0.711, 70
testifieth, 5173, 0.711, 70
testify, 5174, 0.711, 70
things, 5177, 0.711, 70
thou, 5479, 0.711, 70
twelve, 5175, 0.711, 70
unjust, 5173, 0.711, 70
unto, 9001, 0.711, 70
water, 5173, 0.711, 70
whoremongers, 5173, 0.711, 70
whosoever, 5174, 0.711, 70
words, 5174, 0.711, 70
written, 5174, 0.711, 70
ye, 5604, 0.711, 70
